-3,-4,2,40,26,-2,-2,4,1652970154.3640988
-1,-1,5,0,26,3,0,-12,1652970154.3640988
2,1,2,-3,-12,-8,-7,-1,1652970154.3760583
-1,1,1,14,-15,-3,0,-3,1652970154.3760583
0,1,-4,-26,-38,7,-2,5,1652970154.3760583
3,2,6,53,49,2,2,4,1652970154.3760583
-2,0,-6,-69,-27,-3,-2,-3,1652970154.3810437
0,0,2,21,0,-4,1,2,1652970154.3810437
0,-1,0,-4,-15,-5,1,-5,1652970154.3810437
0,-2,4,40,2,-2,1,-1,1652970154.3840363
1,0,0,-24,13,-5,1,-2,1652970154.3910182
0,-4,0,22,-23,4,0,1,1652970154.3910182
1,-1,-4,-40,9,4,5,1,1652970154.3970377
-2,-1,-12,-60,-16,-8,-6,-2,1652970154.3970377
-1,0,11,28,38,11,6,7,1652970154.4249623
-8,-5,-3,21,-35,-9,-8,-5,1652970154.4249623
-4,-2,2,11,-5,2,-2,-2,1652970154.4249623
0,0,6,23,16,-4,0,0,1652970154.4249623
0,-2,-11,-31,-20,-10,-3,-1,1652970154.4389274
2,3,11,27,21,2,1,0,1652970154.4389274
0,-2,-12,-24,-13,1,0,-1,1652970154.4389274
-1,-1,-2,10,14,-5,-3,-1,1652970154.4389274
-5,-3,-3,-16,-41,-8,-5,-4,1652970154.4528883
-1,-3,-3,32,46,5,0,0,1652970154.4528883
0,9,25,17,4,-5,-5,-1,1652970154.4638612
-1,-2,-16,-24,-33,-9,-2,3,1652970154.4638612
0,3,1,28,62,4,2,0,1652970154.479821
0,-2,-10,-46,-70,-5,1,0,1652970154.479821
2,-1,-3,-24,18,3,2,-1,1652970154.479821
-4,-6,11,38,-13,0,1,0,1652970154.479821
-2,0,-11,-25,19,1,-2,-2,1652970154.4997637
1,6,14,13,25,5,1,1,1652970154.4997637
-5,-2,-1,-18,-16,0,0,-3,1652970154.5007608
-2,-4,-18,-52,-12,1,-2,-3,1652970154.5007608
-2,1,4,41,14,-2,0,2,1652970154.512737
0,7,9,18,-35,-4,0,1,1652970154.512737
