-3,2,17,74,64,-31,76,7,1652970174.42423
-13,-11,-15,-32,-29,-28,-47,3,1652970174.42423
36,6,9,16,2,4,35,-21,1652970174.4321773
-3,4,-16,-51,-22,11,24,-4,1652970174.4321773
-40,-4,18,5,-16,3,-19,-4,1652970174.4471688
42,1,2,37,91,5,-21,-23,1652970174.4471688
8,0,-4,-38,-6,19,24,19,1652970174.4471688
-21,-1,14,31,-31,-31,-49,-36,1652970174.4471688
-5,-1,-21,-12,-2,19,-22,1,1652970174.4750955
-13,1,-7,-26,-17,-31,-3,10,1652970174.4750955
4,8,17,75,70,41,-11,-9,1652970174.4750955
3,-10,-17,-72,-61,-30,10,-2,1652970174.4750955
-9,4,39,31,-27,10,11,15,1652970174.48407
18,-5,-16,-2,-6,-22,-14,8,1652970174.48407
-1,-4,-13,-16,10,-12,36,-7,1652970174.4920485
-14,4,11,-9,22,47,14,8,1652970174.4920485
-38,-18,-52,-60,-12,29,-67,-9,1652970174.5090044
-6,15,28,52,8,-21,-7,-8,1652970174.5090044
10,-18,-3,-29,-89,-38,14,-5,1652970174.5090044
22,-3,8,54,48,-1,2,21,1652970174.5090044
15,-3,-15,-28,17,34,37,-19,1652970174.5349364
-12,9,3,-15,-19,-6,-1,23,1652970174.5349364
-14,-2,-18,-14,12,-18,-11,-17,1652970174.5369298
9,3,25,70,25,-41,1,-6,1652970174.5369298
9,-4,-4,20,-8,10,52,-7,1652970174.5439098
-4,2,14,-38,-4,35,-98,-5,1652970174.5439098
-23,-10,-31,-49,-30,-35,14,-18,1652970174.551888
43,10,25,40,39,93,56,17,1652970174.551888
-30,1,-1,21,12,-96,-35,-15,1652970174.5678453
-4,1,33,-25,-15,53,102,21,1652970174.5678453
0,4,25,10,-5,-42,50,31,1652970174.5678453
13,8,-13,26,6,-22,-90,-30,1652970174.5678453
4,-6,-20,6,8,9,17,33,1652970174.5883684
-29,-22,-25,34,-16,-38,-20,-51,1652970174.5883684
12,18,22,-15,31,36,-13,11,1652970174.5883684
-55,-15,-22,-83,-61,5,26,-42,1652970174.5883684
81,2,10,-12,-32,-18,60,58,1652970174.6043265
-36,-10,-51,-119,-14,53,10,-34,1652970174.6043265
-28,-1,3,93,62,-56,32,49,1652970174.611307
-19,1,12,46,-13,-69,-29,-34,1652970174.611307
-3,-2,12,84,32,61,13,1,1652970174.6272628
20,-3,-36,-64,-42,-38,-35,-1,1652970174.6272628
38,28,62,15,39,102,16,-21,1652970174.6272628
-7,-3,-20,-47,16,42,73,39,1652970174.6272628
-11,-8,-6,-39,-41,-38,-19,-29,1652970174.653195
31,4,-6,30,-4,-75,-55,60,1652970174.653195
3,-4,6,-40,-60,-55,1,-11,1652970174.653195
-53,-15,-1,32,26,99,4,-6,1652970174.653195
4,4,-12,40,77,-77,3,4,1652970174.6721454
-15,-4,-1,12,7,-28,-11,-36,1652970174.6721454
2,2,-2,-8,-17,29,24,26,1652970174.6721454
