-4,-2,5,23,18,2,1,-9,1652970185.4640872
-2,0,10,74,48,7,7,-3,1652970185.4640872
0,0,-7,-43,-19,-13,-20,4,1652970185.4800427
-3,-2,0,2,30,7,4,1,1652970185.4800427
-1,-1,-5,-6,-6,-3,-5,-2,1652970185.4800427
-1,-2,-5,-23,-6,5,5,-5,1652970185.4800427
0,1,8,26,-22,-1,5,16,1652970185.4950016
-4,-3,-3,-22,27,-6,-7,-24,1652970185.4950016
2,2,0,1,-45,1,1,-1,1652970185.5069392
-4,-2,-3,-4,18,-5,0,-6,1652970185.5069392
1,2,3,14,31,5,2,0,1652970185.523586
-1,0,-6,-38,-63,-6,1,7,1652970185.523586
-3,1,3,39,21,-1,-5,-13,1652970185.523586
0,-1,0,-8,14,6,4,14,1652970185.523586
0,1,-1,6,34,2,-7,-5,1652970185.54556
3,0,-1,-19,2,-3,-7,-9,1652970185.54556
-1,-3,-1,-22,-35,-4,-2,13,1652970185.5574853
-2,1,8,40,-2,2,-1,0,1652970185.5574853
-4,-2,2,49,26,4,4,-4,1652970185.5574853
0,0,7,28,-3,-1,2,5,1652970185.5574853
-3,-3,-10,-52,18,-3,-3,-4,1652970185.5655005
4,0,-1,-44,-11,-3,-2,-1,1652970185.5655005
0,-1,-7,-17,-33,2,4,1,1652970185.5814705
-1,1,3,19,43,-2,-4,-1,1652970185.5814705
0,-1,2,25,-6,-2,5,0,1652970185.5814705
-2,-1,-4,-3,-3,-8,-7,0,1652970185.5814705
-2,-2,6,-3,-6,2,-1,-5,1652970185.6033623
1,-1,-1,-6,1,7,2,8,1652970185.6033623
1,0,2,7,19,2,-4,-4,1652970185.6033623
0,-1,1,-3,-5,2,-7,-2,1652970185.6033623
-1,-2,-2,12,-14,-5,9,9,1652970185.6163712
1,-1,-6,-34,-3,-4,-8,-3,1652970185.6163712
-3,0,4,30,26,1,-1,-1,1652970185.6233091
-1,-2,-7,-12,-17,-1,-3,0,1652970185.6233091
6,3,0,-6,5,-5,-8,-10,1652970185.6383028
-4,0,2,27,11,4,14,0,1652970185.6383028
2,-4,-8,-24,-50,-3,2,-2,1652970185.6383028
-2,-1,-1,7,4,0,-4,1,1652970185.6383028
-3,-1,-7,-41,-34,-1,0,1,1652970185.6672347
1,-1,1,19,-8,-6,-4,1,1652970185.6672347
-2,1,2,-5,33,3,-15,-9,1652970185.6672347
-7,-1,1,-1,6,1,20,-5,1652970185.6672347
12,-2,-3,-20,12,3,-7,18,1652970185.6752026
2,-9,-1,-5,-25,-7,5,-20,1652970185.6752026
-18,12,2,14,18,-1,3,47,1652970185.6841826
4,3,-4,-8,9,-5,-35,-22,1652970185.6841826
-10,5,-1,-1,-1,-1,9,-9,1652970185.7001486
2,0,1,-4,-12,-1,-1,4,1652970185.7001486
5,-9,-7,-36,1,-11,-13,-17,1652970185.7001486
-8,-3,0,22,2,10,20,10,1652970185.7001486
1,-3,2,10,-32,-7,-8,-5,1652970185.7270644
-2,2,-2,-7,19,4,2,4,1652970185.730055
-2,-4,1,18,20,-2,4,-14,1652970185.730055
1,-1,-1,26,14,-1,4,6,1652970185.730055
3,-4,-7,-59,34,-1,-7,2,1652970185.7350433
-1,0,3,-34,-77,-3,7,7,1652970185.737005
-2,-1,-2,15,41,-2,-2,-6,1652970185.7529964
1,-3,0,36,-6,-2,1,-2,1652970185.7529964
0,-5,1,30,11,6,7,0,1652970185.7579837
1,-4,2,14,5,0,-12,2,1652970185.7599776
-8,4,-4,-49,0,3,4,-3,1652970185.765962
11,9,2,-1,-40,-9,-9,5,1652970185.765962
-8,2,0,6,-1,-2,-14,-2,1652970185.786906
1,-3,-2,17,19,4,25,-3,1652970185.786906
5,-3,1,10,-36,-1,6,-2,1652970185.786906
-11,-13,-10,-39,24,2,2,-5,1652970185.786906
2,1,0,5,6,1,-3,5,1652970185.7938862
-2,3,-1,-16,12,-4,-10,-2,1652970185.7938862
0,-3,5,30,5,2,5,-4,1652970185.802862
3,4,3,6,-90,-19,-11,2,1652970185.802862
-2,-3,-2,-5,38,8,18,5,1652970185.8218212
-5,-4,-8,8,29,23,-5,3,1652970185.8218212
-1,-1,0,-6,-16,-18,4,-14,1652970185.8218212
3,-1,-8,-58,27,5,-11,6,1652970185.8218212
-6,-1,3,22,-28,-7,-1,-10,1652970185.8427227
-4,-2,-6,2,-3,-6,4,2,1652970185.8427227
7,1,1,4,3,5,-12,6,1652970185.8427227
-3,-3,3,19,6,4,3,-15,1652970185.8427227
7,0,2,0,-19,-6,-11,-12,1652970185.8527281
-9,2,-8,-29,16,-2,-2,9,1652970185.8527281
4,-3,4,9,-12,1,-5,-6,1652970185.8597124
-11,-4,1,0,-6,-4,3,6,1652970185.8597124
8,-3,-1,-11,17,-1,4,14,1652970185.878626
2,4,4,30,11,3,-4,-26,1652970185.878626
0,5,1,3,-14,3,9,-1,1652970185.886637
1,1,-2,-14,31,-1,-12,3,1652970185.886637
-3,2,3,26,16,4,0,-1,1652970185.9006007
2,-3,-6,-22,38,6,20,14,1652970185.9006007
-2,-5,-7,-22,-103,-10,4,-2,1652970185.907584
-2,-1,5,18,49,1,11,2,1652970185.907584
-5,-3,-6,-52,-25,3,-5,-10,1652970185.919517
-1,-2,4,38,-2,-5,-5,-4,1652970185.919517
-4,-4,-3,6,34,1,-15,3,1652970185.9275389
5,3,0,3,-20,1,3,-4,1652970185.9275389
-7,-4,-2,8,29,-5,8,-2,1652970185.9355073
2,2,2,-2,-33,-7,-2,1,1652970185.9355073
1,0,2,12,13,6,-6,2,1652970185.9434528
-1,-2,-11,-51,-5,-4,-7,-7,1652970185.9434528
-5,-2,-3,-5,-10,-1,-3,-5,1652970185.961406
-1,-1,-3,-19,-14,-2,7,-3,1652970185.9674232
2,0,-1,0,-1,-3,-21,8,1652970185.9694228
7,-1,5,22,11,8,9,18,1652970185.9694228
-11,0,8,41,42,6,6,-15,1652970185.9773617
2,6,5,-4,-54,-8,-10,2,1652970185.9773617
-7,-18,-9,3,32,6,18,-13,1652970185.9853404
19,9,-3,-12,1,-6,-45,4,1652970185.9853404
-11,6,-4,-15,-33,-10,-7,0,1652970186.0013306
0,2,6,16,29,-1,-7,3,1652970186.0013306
2,4,1,-7,3,4,6,-7,1652970186.0013306
-8,-9,-4,4,21,-2,4,-3,1652970186.0013306
4,-2,-2,-2,-9,1,-6,-1,1652970186.0282586
-1,1,-4,-4,-24,-6,-8,-3,1652970186.0282586
-2,1,5,37,37,3,0,3,1652970186.0282586
-4,-1,-1,-25,-19,7,21,-2,1652970186.0282586
3,0,-1,21,-10,-9,0,2,1652970186.100063
0,-4,-8,-44,9,25,5,3,1652970186.100063
2,0,-5,-8,-24,-19,-8,-6,1652970186.100063
-4,0,2,19,-15,-2,6,2,1652970186.100063
1,0,-2,-15,-2,6,2,2,1652970186.100063
-1,-4,-3,-31,-6,3,-5,1,1652970186.100063
2,3,7,51,21,1,0,2,1652970186.100063
-4,-1,3,0,-10,-2,1,-12,1652970186.100063
-2,-4,-4,1,-9,-8,1,-2,1652970186.100063
0,-2,-2,-4,4,-8,-5,1,1652970186.100063
-3,0,-2,13,12,6,6,0,1652970186.100063
-2,-3,-5,9,28,-2,1,12,1652970186.100063
2,1,1,16,24,5,0,-24,1652970186.128022
2,2,-3,-65,-37,-11,-8,-1,1652970186.128022
0,2,-2,-17,-39,-4,0,-2,1652970186.128022
-4,-2,-2,15,4,-3,-5,-5,1652970186.128022
1,-4,-1,8,32,1,-2,9,1652970186.128022
0,0,2,22,1,-13,-10,0,1652970186.128022
-6,-1,1,-10,9,20,18,-3,1652970186.1469936
-2,0,-4,-4,-18,1,7,0,1652970186.1479933
4,1,-2,-5,-20,-3,-12,-4,1652970186.1609933
-1,-2,-1,14,21,-8,-6,-13,1652970186.1609933
6,2,-1,-34,4,2,12,26,1652970186.1609933
-2,-2,5,30,-6,3,-6,-7,1652970186.1609933
